Year,Runtime (Minutes),Rating,Votes,Revenue (Millions),Metascore,Genre
2016,128,7.4,162122,86.2,51.0,Action
2013,153,8.1,431185,60.96,74.0,Drama
2016,123,7.0,187547,47.17,32.0,Action
2011,146,8.1,342429,169.71,62.0,Drama
2016,114,7.1,106463,43.02,57.0,Comedy
2015,141,7.4,516895,458.99,66.0,Action
2016,116,7.4,175067,36.25,70.0,Action
2016,106,8.6,34110,4.68,79.0,Drama
2016,105,6.3,10181,1.29,77.0,Drama
2006,151,8.5,937414,132.37,85.0,Drama
2015,132,7.0,108836,1.87,55.0,Drama
2011,115,7.0,570814,181.02,57.0,Action
2015,144,8.0,556097,228.43,80.0,Drama
2015,116,7.3,202973,45.43,56.0,Action
2016,102,7.7,115546,26.86,88.0,Drama
2016,120,5.4,1954,1.66,40.0,Comedy
2016,110,6.3,117590,126.59,44.0,Action
2014,108,7.7,339797,25.44,78.0,Drama
2016,89,6.3,3712,10.16,44.0,Action
2013,134,8.1,486338,56.67,96.0,Drama
2006,117,7.7,637104,210.59,52.0,Action
2011,130,8.1,590595,380.96,87.0,Drama
2016,105,5.8,30761,54.73,42.0,Comedy
2016,104,7.2,192968,71.9,76.0,Drama
2016,97,7.4,157026,486.29,77.0,Comedy
2016,127,6.7,101058,87.24,57.0,Drama
2016,98,6.0,53183,46.01,51.0,Comedy
2012,164,8.5,1222645,448.13,78.0,Action
2016,106,7.5,198243,364.0,77.0,Drama
2014,165,5.7,255483,245.43,32.0,Action
2016,96,6.6,69651,38.56,58.0,Action
2008,108,6.4,153481,143.7,51.0,Comedy
2015,156,8.0,499424,183.64,76.0,Drama
2016,139,7.3,50953,57.64,79.0,Drama
2014,125,6.0,109756,128.0,69.0,Comedy
2016,86,6.4,78328,55.12,59.0,Drama
2014,107,8.5,477276,13.09,88.0,Drama
2013,130,7.1,318051,238.67,61.0,Action
2012,140,7.3,200090,21.38,68.0,Drama
2007,122,8.1,660286,74.27,91.0,Drama
2013,143,7.3,386102,144.81,55.0,Drama
2009,127,8.0,526324,257.7,82.0,Action
2010,94,6.2,34184,64.0,56.0,Comedy
2015,130,7.8,246360,70.24,81.0,Comedy
2015,118,8.2,224132,14.68,86.0,Drama
2012,165,8.4,1039115,162.8,81.0,Drama
2016,144,8.1,33418,2.01,84.0,Drama
2016,104,7.4,47694,14.26,77.0,Comedy
2009,162,7.6,410249,107.5,56.0,Action
2007,113,7.6,442082,121.46,76.0,Comedy
2016,121,6.2,97623,34.26,42.0,Action
2016,117,6.4,50853,55.47,66.0,Action
2016,88,5.8,4299,0.2,65.0,Drama
2015,121,7.6,243230,46.88,82.0,Action
2007,94,4.7,97618,41.8,29.0,Action
2013,131,7.0,400519,101.79,64.0,Action
2011,118,7.4,396714,84.24,68.0,Comedy
2010,112,7.5,291457,31.49,69.0,Action
2007,121,7.9,373244,23.62,81.0,Action
2016,90,7.0,6946,1.8,63.0,Action
2014,132,8.0,552298,233.91,74.0,Action
2016,118,6.1,78043,58.4,47.0,Action
2006,144,8.0,495106,167.01,80.0,Action
2008,122,5.2,361449,191.45,56.0,Drama
2016,129,6.5,156567,65.03,46.0,Action
2015,109,7.3,39723,33.31,51.0,Drama
2016,144,7.3,76935,52.82,48.0,Action
2015,148,6.8,308981,200.07,60.0,Action
2014,118,7.9,332476,32.28,76.0,Drama
2013,126,8.0,390531,25.56,90.0,Drama
2013,102,7.5,451894,400.74,74.0,Comedy
2015,130,6.5,143069,93.42,60.0,Action
2014,130,7.6,337777,208.54,79.0,Action
2008,107,7.0,321442,110.42,71.0,Action
2015,117,7.3,368912,180.19,64.0,Action
2016,118,6.7,43086,24.09,59.0,Comedy
2015,105,7.0,117018,201.15,67.0,Drama
2016,124,8.0,22389,3.4,85.0,Drama
2016,113,6.3,11944,1.72,53.0,Drama
2015,119,6.6,97454,31.06,66.0,Drama
2011,100,7.8,461509,35.05,78.0,Drama
2015,125,6.3,106364,110.01,75.0,Comedy
2016,133,7.2,27382,12.53,60.0,Drama
2015,128,8.1,268282,44.99,93.0,Drama
2011,140,8.2,355722,13.65,71.0,Action
2011,124,6.9,547368,176.64,66.0,Action
2007,148,8.1,459304,18.35,73.0,Drama
2014,114,8.1,532353,91.12,73.0,Drama
2016,107,6.3,97082,127.38,52.0,Action
2014,113,7.9,471815,100.19,71.0,Action
2016,146,6.5,12193,8.1,47.0,Drama
2016,134,7.3,79855,21.48,58.0,Drama
2008,126,7.9,737719,318.3,79.0,Action
2016,120,5.7,70504,66.0,33.0,Action
2011,132,7.8,550011,146.41,65.0,Action
2016,99,7.5,5435,0.51,81.0,Drama
2016,118,7.5,26089,2.14,90.0,Comedy
2011,125,6.8,227912,169.08,75.0,Comedy
2015,114,6.1,161396,155.18,43.0,Action
2012,94,5.3,114290,14.12,63.0,Drama
2007,144,7.1,531112,318.76,61.0,Action
2013,112,7.0,443584,206.36,54.0,Action
2016,126,5.5,73568,31.14,25.0,Action
2014,136,7.8,542362,259.75,70.0,Action
2016,104,5.7,7044,33.04,41.0,Action
2010,117,7.7,456749,48.04,66.0,Action
2015,96,6.7,61098,9.24,51.0,Action
2006,117,7.1,283445,244.05,73.0,Comedy
2011,158,7.8,348551,102.52,71.0,Drama
2013,110,7.0,334867,150.37,44.0,Comedy
2016,163,7.0,19660,0.66,79.0,Drama
2015,119,7.1,121313,8.7,82.0,Comedy
2010,107,6.4,179450,52.0,51.0,Action
2014,97,7.0,268877,241.41,56.0,Action
2006,118,8.2,498879,37.62,98.0,Drama
2016,95,5.2,3305,0.0,50.0,Drama
2006,139,7.8,247926,50.86,68.0,Action
2015,131,7.4,257472,195.0,75.0,Action
2016,114,6.1,66766,47.95,35.0,Action
2012,102,8.0,377336,17.74,67.0,Drama
2016,100,6.8,41446,13.96,81.0,Drama
2016,85,3.9,4895,2.41,31.0,Drama
2014,99,8.1,530881,59.07,88.0,Comedy
2013,125,5.9,96852,26.62,35.0,Action
2014,134,7.6,332234,85.71,64.0,Action
2015,95,8.2,416689,356.45,94.0,Comedy
2016,90,5.8,1109,9.4,48.0,Comedy
2015,126,6.5,205365,89.73,38.0,Action
2010,118,5.9,148949,88.76,47.0,Action
2012,158,7.6,257426,148.78,63.0,Drama
2006,109,7.9,382910,35.29,84.0,Drama
2016,119,7.4,14708,5.66,83.0,Comedy
2015,119,7.1,188017,110.82,75.0,Action
2011,112,8.6,557965,13.18,57.0,Comedy
2016,92,4.9,178,0.32,50.0,Comedy
2009,94,7.3,50946,0.11,73.0,Drama
2015,147,7.9,139831,161.03,72.0,Drama
2014,142,6.7,342183,202.85,53.0,Action
2009,100,7.8,611563,277.31,73.0,Comedy
2012,131,5.8,210349,65.17,41.0,Action
2011,105,7.6,422290,176.74,68.0,Action
2016,118,7.1,664,2.27,76.0,Drama
2014,119,7.8,440299,42.34,88.0,Comedy
2010,108,8.0,581518,106.95,79.0,Drama
2014,108,6.2,21715,4.4,79.0,Comedy
2013,117,7.0,90556,0.79,64.0,Drama
2016,112,6.0,59312,0.54,40.0,Action
2015,99,4.9,53441,0.03,53.0,Drama
2016,102,6.0,75137,35.54,18.0,Comedy
2012,172,7.5,298651,27.1,55.0,Drama
2009,107,6.7,388447,179.88,40.0,Action
2012,143,7.8,547386,304.36,81.0,Action
2012,169,7.9,668651,303.0,58.0,Action
2012,110,7.2,432046,138.45,69.0,Action
2016,106,8.0,52144,3.23,79.0,Comedy
2013,124,7.0,410125,89.02,54.0,Action
2014,112,7.1,280110,191.62,71.0,Action
2007,157,7.7,329683,33.05,78.0,Drama
2016,117,7.0,36312,3.37,83.0,Comedy
2013,130,7.2,591023,408.99,62.0,Action
2009,128,7.6,501769,209.02,57.0,Action
2015,119,7.0,110773,12.71,66.0,Drama
2014,98,6.0,122838,72.66,47.0,Action
2011,110,6.1,204874,36.38,33.0,Action
2016,105,5.8,30405,14.9,34.0,Action
2015,127,5.3,150121,47.38,40.0,Action
2016,95,5.8,26508,17.36,47.0,Action
2016,118,7.5,58782,2.13,72.0,Action
2012,112,7.2,226631,65.0,66.0,Comedy
2016,92,5.7,76327,55.29,58.0,Comedy
2013,143,7.1,577010,291.02,55.0,Action
2016,111,6.6,20514,18.71,26.0,Drama
2016,94,5.7,34523,64.06,34.0,Comedy
2006,109,6.8,302268,124.73,62.0,Comedy
2016,127,7.1,43929,15.43,66.0,Drama
2007,158,8.1,400682,40.22,92.0,Drama
2014,132,7.2,249425,101.53,57.0,Action
2013,121,7.5,218996,125.07,60.0,Action
2008,97,5.5,67033,48.24,55.0,Comedy
2010,104,6.4,105619,31.58,46.0,Comedy
2014,148,6.7,69509,8.09,81.0,Comedy
2016,113,6.2,57207,77.04,34.0,Action
2006,104,6.0,193479,62.49,45.0,Action
2016,110,6.1,59886,46.81,51.0,Comedy
2009,129,7.7,237221,255.95,53.0,Drama
2013,180,7.8,103150,2.2,88.0,Drama
2014,93,6.8,132580,0.92,86.0,Drama
2014,144,7.4,385598,255.11,59.0,Action
2007,138,7.5,385325,292.0,71.0,Action
2013,126,7.0,199048,4.56,84.0,Action
2016,112,5.2,73093,34.91,33.0,Action
2015,94,6.2,81429,65.07,55.0,Comedy
2011,131,7.3,300803,209.81,66.0,Action
2006,104,6.5,95960,65.27,48.0,Drama
2016,84,6.4,616,0.01,74.0,Drama
2008,114,7.3,203096,5.69,53.0,Action
2011,109,6.7,319025,37.55,53.0,Action
2010,120,7.7,510100,96.92,95.0,Drama
2015,106,6.0,71149,27.36,34.0,Action
2015,110,6.0,37975,5.77,36.0,Drama
2016,103,7.4,12643,0.04,54.0,Comedy
2015,133,5.4,43085,7.1,51.0,Drama
2016,87,6.9,34248,72.66,56.0,Comedy
2014,133,7.3,353305,350.12,72.0,Action
2013,117,8.0,352801,27.3,84.0,Drama
2012,150,7.4,207497,182.2,86.0,Drama
2013,123,8.1,339722,26.9,75.0,Action
2012,122,7.8,564364,132.09,81.0,Comedy
2014,126,7.8,271301,124.87,69.0,Drama
2014,117,6.5,93764,46.28,31.0,Comedy
2009,107,6.6,217464,155.02,46.0,Action
2012,119,7.4,452369,66.47,84.0,Action
2013,131,6.4,173320,73.1,52.0,Action
2016,102,6.8,36322,76.2,71.0,Action
2007,139,6.2,406219,336.53,59.0,Action
2011,110,5.8,92329,20.32,35.0,Action
2007,127,7.7,220664,38.35,66.0,Action
2013,138,7.3,379088,150.12,90.0,Drama
2009,102,5.1,96617,16.2,47.0,Comedy
2011,94,7.7,320323,56.82,81.0,Comedy
2015,124,6.6,97679,56.44,56.0,Drama
2015,119,7.1,33352,2.02,47.0,Comedy
2016,96,6.7,45579,11.08,64.0,Comedy
2014,102,5.5,59958,17.18,30.0,Action
2014,123,7.7,299718,35.89,72.0,Drama
2013,107,6.6,327838,101.47,67.0,Comedy
2013,123,7.8,221600,15.29,55.0,Comedy
2008,98,6.9,223065,100.47,51.0,Comedy
2013,132,7.8,417663,228.76,72.0,Action
2009,88,7.7,409403,75.59,73.0,Comedy
2016,106,6.3,89059,30.0,72.0,Comedy
2008,120,8.0,677044,141.32,86.0,Drama
2012,115,5.5,194329,292.3,52.0,Drama
2012,136,7.0,474320,262.03,66.0,Action
2016,123,5.7,28326,26.38,38.0,Action
2016,89,6.0,702,3.85,62.0,Action
2014,113,6.8,335531,102.41,57.0,Action
2016,113,6.3,38430,14.27,36.0,Action
2008,110,6.7,312495,134.57,64.0,Action
2016,111,6.9,31776,27.37,71.0,Comedy
2016,99,5.7,7583,2.2,33.0,Action
2015,123,6.9,135706,62.56,68.0,Drama
2015,133,7.6,175673,109.71,82.0,Drama
2016,97,7.1,61812,4.21,64.0,Comedy
2014,126,6.1,137568,39.29,35.0,Action
2014,86,7.6,84016,3.33,76.0,Comedy
2015,124,7.4,169083,52.42,57.0,Drama
2015,142,7.6,217938,72.31,81.0,Drama
2014,100,7.8,266508,257.76,83.0,Action
2015,121,7.1,154647,43.25,64.0,Action
2015,105,5.6,101092,78.75,27.0,Action
2010,140,6.7,221117,105.22,53.0,Action
2013,126,6.7,355362,132.55,60.0,Action
2012,132,6.6,220667,73.06,51.0,Action
2016,100,6.3,31913,20.57,63.0,Action
2015,115,5.8,31194,10.64,39.0,Action
2015,122,7.2,116112,17.75,82.0,Drama
2013,101,5.4,114482,133.67,19.0,Comedy
2015,112,7.2,112288,42.48,51.0,Drama
2008,112,6.8,342355,134.52,61.0,Action
2009,113,5.5,86417,109.18,23.0,Comedy
2012,110,6.1,113686,113.71,72.0,Comedy
2015,91,6.4,159830,336.03,56.0,Action
2010,95,7.7,410607,251.5,72.0,Comedy
2014,118,6.7,49041,26.76,29.0,Drama
2015,100,6.7,40529,0.23,74.0,Drama
2012,157,7.4,226661,95.72,95.0,Drama
2010,100,7.8,316459,200.81,71.0,Comedy
2015,137,6.6,202380,281.67,65.0,Action
2015,99,6.1,74589,58.88,34.0,Comedy
2008,93,7.8,502961,145.0,50.0,Action
2015,115,6.5,108306,183.44,63.0,Comedy
2013,104,7.3,252119,268.49,65.0,Comedy
2016,98,5.6,48161,21.2,38.0,Action
2014,102,5.4,34546,1.82,55.0,Comedy
2010,146,7.7,357213,294.98,65.0,Action
2011,101,7.2,155010,4.0,72.0,Drama
2011,111,6.8,164208,40.25,65.0,Action
2007,88,5.7,8914,0.04,35.0,Drama
2016,108,5.8,35003,10.91,45.0,Action
2014,102,6.2,237887,106.37,48.0,Action
2016,99,5.9,100702,62.4,28.0,Action
2008,166,7.8,485075,127.49,70.0,Drama
2014,102,6.5,122185,13.75,46.0,Action
2007,115,8.1,525700,227.14,85.0,Action
2009,170,8.4,238789,6.52,67.0,Comedy
2016,102,4.7,48297,28.84,34.0,Comedy
2013,116,7.0,494819,202.35,63.0,Action
2011,132,7.4,382459,209.36,73.0,Action
2015,123,7.1,58421,37.43,33.0,Drama
2012,114,7.6,156189,19.0,73.0,Drama
2013,103,6.6,214825,28.75,41.0,Action
2013,130,6.3,181521,234.9,44.0,Action
2015,117,7.5,94977,38.32,87.0,Drama
2010,112,7.4,151409,9.7,81.0,Drama
2012,95,7.1,213764,13.4,59.0,Action
2016,101,7.9,52331,5.2,81.0,Comedy
2014,102,7.8,309186,222.49,74.0,Action
2013,100,5.9,113272,35.27,53.0,Drama
2010,124,7.0,556666,312.06,57.0,Action
2015,101,7.0,58720,1.82,49.0,Comedy
2009,108,6.8,126656,10.33,28.0,Action
2013,119,6.5,214994,98.9,41.0,Action
2011,109,6.1,202682,55.09,36.0,Action
2012,115,8.3,192263,0.61,76.0,Drama
2009,108,6.7,241709,163.95,48.0,Comedy
2015,100,6.0,95119,90.35,34.0,Comedy
2011,117,6.4,182069,103.03,33.0,Comedy
2008,119,7.3,159736,22.88,69.0,Drama
2010,125,7.6,294553,92.17,74.0,Drama
2016,109,6.6,8229,4.07,63.0,Drama
2015,103,6.3,57602,80.02,60.0,Comedy
2011,129,7.5,357436,186.83,48.0,Action
2010,100,6.4,255813,118.31,65.0,Action
2009,112,8.0,556794,115.65,81.0,Action
2010,107,6.7,199900,119.22,64.0,Action
2007,157,7.8,337835,130.13,76.0,Drama
2006,123,6.4,83941,15.96,65.0,Drama
2009,158,5.8,297984,166.11,49.0,Action
2009,153,7.5,351059,301.96,78.0,Action
2012,120,7.7,481274,136.02,86.0,Drama
2016,106,7.4,56332,15.79,54.0,Comedy
2006,137,8.5,278103,11.28,89.0,Drama
2008,111,7.2,226619,62.88,67.0,Comedy
2014,97,6.5,93799,45.09,47.0,Drama
2016,115,6.3,48400,12.63,52.0,Action
2012,94,7.8,254446,45.51,84.0,Comedy
2007,117,6.7,102954,118.82,81.0,Comedy
2013,115,6.7,84765,71.35,34.0,Drama
2015,105,6.6,166489,53.85,56.0,Comedy
2007,111,8.0,504039,206.44,96.0,Comedy
2010,98,6.5,36091,0.02,66.0,Drama
2010,118,6.9,241359,94.82,53.0,Action
2008,85,7.0,313803,80.03,64.0,Action
2015,114,5.3,44553,28.77,34.0,Action
2013,108,6.3,94707,2.61,78.0,Drama
2007,101,7.2,565721,256.39,65.0,Drama
2012,106,6.8,278379,179.02,58.0,Action
2009,109,7.4,228339,73.34,34.0,Drama
2009,96,8.3,722203,292.98,88.0,Comedy
2015,131,6.3,159364,81.69,43.0,Action
2015,118,7.2,77995,0.25,95.0,Drama
2015,124,7.3,52636,2.7,64.0,Comedy
2012,131,6.5,107960,47.31,59.0,Drama
2009,95,7.7,398972,32.39,76.0,Comedy
2013,94,4.3,83625,8.83,18.0,Comedy
2013,91,7.8,622089,274.08,96.0,Drama
2008,94,7.8,144614,9.03,55.0,Drama
2007,124,7.2,267820,46.98,53.0,Action
2015,132,7.1,47289,66.01,72.0,Drama
2010,92,7.1,294950,58.4,72.0,Comedy
2014,150,6.0,137299,65.01,52.0,Action
2015,120,6.9,188769,31.57,41.0,Action
2013,161,7.9,513744,258.36,66.0,Action
2013,111,6.2,1356,0.05,51.0,Drama
2013,117,5.3,84927,16.97,48.0,Drama
2016,133,4.7,1830,23.05,57.0,Action
2010,106,7.0,36043,0.06,60.0,Drama
2016,103,3.9,552,93.05,61.0,Action
2014,123,6.4,318058,200.66,62.0,Action
2012,135,6.7,245374,113.17,61.0,Action
2006,117,6.9,74674,7.46,47.0,Comedy
2014,89,6.4,352698,126.55,61.0,Action
2016,125,7.2,1024,1.08,77.0,Drama
2014,132,6.5,143389,43.57,39.0,Action
2012,130,7.0,250811,58.68,50.0,Action
2016,108,5.7,24761,0.54,22.0,Action
2016,112,6.7,54787,3.71,76.0,Drama
2016,92,6.8,10485,4.42,83.0,Comedy
2010,108,6.5,324898,334.19,53.0,Action
2016,98,6.8,391,0.11,68.0,Drama
2006,106,5.8,106381,118.68,45.0,Comedy
2016,123,7.1,17141,7.7,79.0,Drama
2015,100,4.3,121847,56.11,27.0,Action
2014,92,6.3,148504,55.94,40.0,Action
2015,122,6.9,90372,24.99,47.0,Action
2006,84,6.6,115355,0.44,66.0,Comedy
2010,103,6.5,283282,102.98,45.0,Action
2012,101,7.8,290559,189.41,72.0,Comedy
2012,127,6.1,239772,155.11,57.0,Action
2015,111,5.8,47804,34.96,36.0,Action
2011,154,6.3,338369,352.36,42.0,Action
2007,96,7.5,432461,143.49,81.0,Comedy
2016,98,6.1,26521,4.2,58.0,Comedy
2016,98,6.5,68654,41.01,55.0,Drama
2014,109,6.0,110825,83.91,39.0,Comedy
2007,107,7.1,150353,127.71,75.0,Comedy
2015,121,7.1,159582,75.27,51.0,Comedy
2006,101,7.8,374044,59.89,80.0,Comedy
2016,117,6.8,11900,4.85,62.0,Drama
2010,106,5.8,238206,163.19,39.0,Action
2016,117,6.8,44425,27.55,58.0,Action
2010,125,6.8,273959,172.05,49.0,Action
2013,146,7.6,525646,424.65,76.0,Action
2010,101,6.3,44158,0.58,57.0,Drama
2016,90,4.9,6809,131.56,37.0,Action
2014,94,5.1,89885,38.54,36.0,Comedy
2012,110,5.7,60059,41.1,41.0,Comedy
2011,133,7.6,297395,75.61,87.0,Drama
2007,114,5.2,190673,115.8,35.0,Action
2014,137,7.2,114006,115.6,59.0,Drama
2011,110,6.0,142900,83.5,46.0,Action
2012,93,7.2,293941,237.28,69.0,Comedy
2009,152,7.8,182074,10.1,76.0,Drama
2013,112,6.2,25208,0.32,37.0,Drama
2014,106,7.1,116118,10.72,69.0,Drama
2006,105,6.4,122864,2.34,45.0,Comedy
2015,96,6.1,68306,150.32,42.0,Comedy
2010,116,7.2,97141,12.13,79.0,Drama
2008,110,6.6,84083,24.85,39.0,Action
2016,83,6.2,63408,6.86,44.0,Action
2009,97,7.9,277123,5.01,67.0,Drama
2010,95,7.3,183926,148.34,63.0,Action
2013,113,6.7,181432,46.0,40.0,Action
2016,88,6.4,40357,93.95,66.0,Action
2016,95,7.2,89791,143.52,66.0,Action
2015,110,5.1,1630,6.53,90.0,Drama
2011,98,6.9,368556,117.53,57.0,Comedy
2014,139,8.1,33560,3.49,74.0,Drama
2008,120,7.0,216932,75.75,78.0,Action
2013,124,6.2,71822,19.45,52.0,Drama
2016,162,7.6,24387,1.48,93.0,Comedy
2009,135,6.7,130702,43.98,42.0,Drama
2007,160,7.5,143564,3.9,68.0,Drama
2013,90,6.6,199973,24.48,66.0,Comedy
2016,92,6.3,21089,0.04,48.0,Action
2015,95,6.3,30053,0.03,52.0,Action
2013,114,7.3,249877,58.23,54.0,Comedy
2015,103,7.3,66400,17.47,72.0,Comedy
2012,88,6.4,127157,62.32,39.0,Action
2009,108,6.6,94069,0.4,49.0,Drama
2014,109,6.0,144715,89.25,26.0,Action
2012,118,6.3,210965,58.88,43.0,Action
2006,104,6.7,406540,234.36,58.0,Action
2014,98,6.2,74886,113.73,47.0,Comedy
2010,112,6.7,151519,32.36,55.0,Comedy
2014,112,6.6,261536,6.11,52.0,Comedy
2006,120,7.0,73491,2.2,85.0,Comedy
2007,129,7.0,309398,148.73,85.0,Comedy
2012,116,7.3,195360,37.4,58.0,Drama
2014,83,5.6,50402,31.54,59.0,Drama
2012,113,6.7,178471,56.72,49.0,Comedy
2006,117,8.0,361105,162.59,64.0,Drama
2014,122,8.1,110100,3.08,77.0,Comedy
2016,113,7.5,4304,0.86,73.0,Drama
2015,101,6.6,76469,13.65,42.0,Comedy
2014,104,5.6,44111,7.79,30.0,Action
2007,116,7.4,296289,52.88,83.0,Drama
2016,87,6.7,30875,9.39,68.0,Comedy
2009,140,7.0,240323,97.03,70.0,Drama
2014,165,7.9,286722,25.36,100.0,Drama
2014,101,5.9,178527,190.87,31.0,Action
2007,100,7.7,198006,17.11,82.0,Drama
2015,96,6.7,2798,0.03,62.0,Drama
2008,111,7.0,267872,87.34,64.0,Action
2012,95,6.9,54027,0.02,55.0,Comedy
2007,114,7.7,206707,20.3,72.0,Drama
2013,117,6.6,140151,159.58,60.0,Action
2016,102,7.1,5796,0.28,88.0,Drama
2012,129,6.6,75291,12.8,63.0,Drama
2015,106,5.7,26320,0.05,32.0,Drama
2015,115,6.3,136323,81.26,48.0,Comedy
2013,129,6.5,168875,49.87,45.0,Comedy
2006,143,8.0,422014,57.37,64.0,Drama
2015,137,6.5,47703,1.21,41.0,Drama
2008,131,7.6,352023,15.7,94.0,Drama
2011,114,5.6,231907,116.59,39.0,Action
2013,115,6.7,188004,25.12,49.0,Action
2014,102,7.2,80415,0.01,44.0,Comedy
2015,101,6.5,57874,34.02,56.0,Comedy
2016,140,7.2,2403,0.54,78.0,Action
2014,123,6.7,331902,337.1,64.0,Action
2011,112,7.5,104953,1.74,68.0,Drama
2016,90,6.5,16164,14.01,87.0,Comedy
2013,130,5.9,112313,31.17,33.0,Action
2008,123,7.7,245144,69.95,36.0,Drama
2010,118,8.0,534388,138.8,88.0,Drama
2008,96,7.6,54486,0.15,82.0,Drama
2008,88,6.1,252503,80.17,35.0,Action
2010,103,8.3,586669,414.98,92.0,Comedy
2011,122,7.1,157053,24.1,85.0,Drama
2012,96,5.4,114144,42.35,39.0,Action
2016,151,7.8,23540,1.4,56.0,Drama
2014,105,5.5,90188,23.22,39.0,Action
2012,127,7.9,471109,124.98,79.0,Drama
2014,106,7.3,86271,0.33,57.0,Drama
2007,128,7.2,347567,134.52,69.0,Action
2012,106,7.0,494641,218.63,62.0,Comedy
2010,111,7.1,250012,90.36,60.0,Action
2008,165,6.6,106115,49.55,53.0,Drama
2010,98,6.5,83788,23.23,44.0,Action
2016,88,6.5,5908,1.02,53.0,Comedy
2014,141,7.4,146812,47.11,48.0,Drama
2013,96,6.2,18437,5.73,50.0,Drama
2009,150,6.0,335757,402.08,35.0,Action
2014,95,7.3,50388,50.15,67.0,Comedy
2010,131,8.2,92863,6.86,80.0,Drama
2007,116,5.8,74664,36.77,46.0,Comedy
2006,108,6.5,141141,197.99,77.0,Comedy
2015,104,6.6,64557,32.36,38.0,Comedy
2014,138,5.8,209700,101.16,68.0,Action
2014,97,6.4,236500,150.06,68.0,Comedy
2013,123,6.7,65824,0.33,60.0,Drama
2014,115,7.1,95553,37.88,76.0,Drama
2010,102,6.0,190385,162.0,30.0,Comedy
2010,140,6.2,127983,176.59,61.0,Action
2012,113,6.2,209326,79.71,55.0,Comedy
2011,109,6.6,286543,55.8,63.0,Comedy
2006,110,7.6,309934,39.83,68.0,Drama
