Year,Runtime (Minutes),Rating,Votes,Revenue (Millions),Genre
2013,126,7,199048,4.56,Action
2016,112,5.2,73093,34.91,Action
2015,94,6.2,81429,65.07,Comedy
2011,131,7.3,300803,209.81,Action
2006,104,6.5,95960,65.27,Drama
2016,84,6.4,616,0.01,Drama
2008,114,7.3,203096,5.69,Action
2011,109,6.7,319025,37.55,Action
2010,120,7.7,510100,96.92,Drama
2015,106,6,71149,27.36,Action
2015,110,6,37975,5.77,Drama
2016,103,7.4,12643,0.04,Comedy
2015,133,5.4,43085,7.1,Drama
2016,87,6.9,34248,72.66,Comedy
2014,133,7.3,353305,350.12,Action
2013,117,8,352801,27.3,Drama
2012,150,7.4,207497,182.2,Drama
2013,123,8.1,339722,26.9,Action
2012,122,7.8,564364,132.09,Comedy
2014,126,7.8,271301,124.87,Drama
2014,117,6.5,93764,46.28,Comedy
2009,107,6.6,217464,155.02,Action
2012,119,7.4,452369,66.47,Action
2013,131,6.4,173320,73.1,Action
2016,102,6.8,36322,76.2,Action
2007,139,6.2,406219,336.53,Action
2011,110,5.8,92329,20.32,Action
2007,127,7.7,220664,38.35,Action
2013,138,7.3,379088,150.12,Drama
2009,102,5.1,96617,16.2,Comedy
2011,94,7.7,320323,56.82,Comedy
2015,124,6.6,97679,56.44,Drama
2015,119,7.1,33352,2.02,Comedy
2016,96,6.7,45579,11.08,Comedy
2014,102,5.5,59958,17.18,Action
2014,123,7.7,299718,35.89,Drama
2013,107,6.6,327838,101.47,Comedy
2013,123,7.8,221600,15.29,Comedy
2008,98,6.9,223065,100.47,Comedy
2013,132,7.8,417663,228.76,Action
2009,88,7.7,409403,75.59,Comedy
2016,106,6.3,89059,30,Comedy
2008,120,8,677044,141.32,Drama
2012,115,5.5,194329,292.3,Drama
2012,136,7,474320,262.03,Action
2016,123,5.7,28326,26.38,Action
2016,89,6,702,3.85,Action
2014,113,6.8,335531,102.41,Action
2016,113,6.3,38430,14.27,Action
2008,110,6.7,312495,134.57,Action
2016,111,6.9,31776,27.37,Comedy
2016,99,5.7,7583,2.2,Action
2015,123,6.9,135706,62.56,Drama
2015,133,7.6,175673,109.71,Drama
2016,97,7.1,61812,4.21,Comedy
2014,126,6.1,137568,39.29,Action
2014,86,7.6,84016,3.33,Comedy
2015,124,7.4,169083,52.42,Drama
2015,142,7.6,217938,72.31,Drama
2014,100,7.8,266508,257.76,Action
2015,121,7.1,154647,43.25,Action
2015,105,5.6,101092,78.75,Action
2010,140,6.7,221117,105.22,Action
2013,126,6.7,355362,132.55,Action
2012,132,6.6,220667,73.06,Action
2016,100,6.3,31913,20.57,Action
2015,115,5.8,31194,10.64,Action
2015,122,7.2,116112,17.75,Drama
2013,101,5.4,114482,133.67,Comedy
2015,112,7.2,112288,42.48,Drama
2008,112,6.8,342355,134.52,Action
2009,113,5.5,86417,109.18,Comedy
2012,110,6.1,113686,113.71,Comedy
2015,91,6.4,159830,336.03,Action
2010,95,7.7,410607,251.5,Comedy
2014,118,6.7,49041,26.76,Drama
2015,100,6.7,40529,0.23,Drama
2012,157,7.4,226661,95.72,Drama
2010,100,7.8,316459,200.81,Comedy
2015,137,6.6,202380,281.67,Action
2015,99,6.1,74589,58.88,Comedy
2008,93,7.8,502961,145,Action
2015,115,6.5,108306,183.44,Comedy
2013,104,7.3,252119,268.49,Comedy
2016,98,5.6,48161,21.2,Action
2014,102,5.4,34546,1.82,Comedy
2010,146,7.7,357213,294.98,Action
2011,101,7.2,155010,4,Drama
2011,111,6.8,164208,40.25,Action
2007,88,5.7,8914,0.04,Drama
2016,108,5.8,35003,10.91,Action
2014,102,6.2,237887,106.37,Action
2016,99,5.9,100702,62.4,Action
2008,166,7.8,485075,127.49,Drama
2014,102,6.5,122185,13.75,Action
2007,115,8.1,525700,227.14,Action
2009,170,8.4,238789,6.52,Comedy
2016,102,4.7,48297,28.84,Comedy
2013,116,7,494819,202.35,Action
2011,132,7.4,382459,209.36,Action
2015,123,7.1,58421,37.43,Drama
2012,114,7.6,156189,19,Drama
2013,103,6.6,214825,28.75,Action
2013,130,6.3,181521,234.9,Action
2015,117,7.5,94977,38.32,Drama
2010,112,7.4,151409,9.7,Drama
2012,95,7.1,213764,13.4,Action
2016,101,7.9,52331,5.2,Comedy
2014,102,7.8,309186,222.49,Action
2013,100,5.9,113272,35.27,Drama
2010,124,7,556666,312.06,Action
2015,101,7,58720,1.82,Comedy
2009,108,6.8,126656,10.33,Action
2013,119,6.5,214994,98.9,Action
2011,109,6.1,202682,55.09,Action
2012,115,8.3,192263,0.61,Drama
2009,108,6.7,241709,163.95,Comedy
2015,100,6,95119,90.35,Comedy
2011,117,6.4,182069,103.03,Comedy
2008,119,7.3,159736,22.88,Drama
2010,125,7.6,294553,92.17,Drama
2016,109,6.6,8229,4.07,Drama
2015,103,6.3,57602,80.02,Comedy
2011,129,7.5,357436,186.83,Action
2010,100,6.4,255813,118.31,Action
2009,112,8,556794,115.65,Action
2010,107,6.7,199900,119.22,Action
2007,157,7.8,337835,130.13,Drama
2006,123,6.4,83941,15.96,Drama
2009,158,5.8,297984,166.11,Action
2009,153,7.5,351059,301.96,Action
2012,120,7.7,481274,136.02,Drama
2016,106,7.4,56332,15.79,Comedy
2006,137,8.5,278103,11.28,Drama
2008,111,7.2,226619,62.88,Comedy
2014,97,6.5,93799,45.09,Drama
2016,115,6.3,48400,12.63,Action
2012,94,7.8,254446,45.51,Comedy
2007,117,6.7,102954,118.82,Comedy
2013,115,6.7,84765,71.35,Drama
2015,105,6.6,166489,53.85,Comedy
2007,111,8,504039,206.44,Comedy
2010,98,6.5,36091,0.02,Drama
2010,118,6.9,241359,94.82,Action
2008,85,7,313803,80.03,Action
2015,114,5.3,44553,28.77,Action
2013,108,6.3,94707,2.61,Drama
2007,101,7.2,565721,256.39,Drama
2012,106,6.8,278379,179.02,Action
2009,109,7.4,228339,73.34,Drama
2009,96,8.3,722203,292.98,Comedy
2015,131,6.3,159364,81.69,Action
2015,118,7.2,77995,0.25,Drama
2015,124,7.3,52636,2.7,Comedy
2012,131,6.5,107960,47.31,Drama
2009,95,7.7,398972,32.39,Comedy
2013,94,4.3,83625,8.83,Comedy
2013,91,7.8,622089,274.08,Drama
2008,94,7.8,144614,9.03,Drama
2007,124,7.2,267820,46.98,Action
2015,132,7.1,47289,66.01,Drama
2010,92,7.1,294950,58.4,Comedy
2014,150,6,137299,65.01,Action
2015,120,6.9,188769,31.57,Action
2013,161,7.9,513744,258.36,Action
2013,111,6.2,1356,0.05,Drama
2013,117,5.3,84927,16.97,Drama
2016,133,4.7,1830,23.05,Action
2010,106,7,36043,0.06,Drama
2016,103,3.9,552,93.05,Action
2014,123,6.4,318058,200.66,Action
2012,135,6.7,245374,113.17,Action
2006,117,6.9,74674,7.46,Comedy
2014,89,6.4,352698,126.55,Action
2016,125,7.2,1024,1.08,Drama
2014,132,6.5,143389,43.57,Action
2012,130,7,250811,58.68,Action
2016,108,5.7,24761,0.54,Action
2016,112,6.7,54787,3.71,Drama
2016,92,6.8,10485,4.42,Comedy
2010,108,6.5,324898,334.19,Action
2016,98,6.8,391,0.11,Drama
2006,106,5.8,106381,118.68,Comedy
2016,123,7.1,17141,7.7,Drama
2015,100,4.3,121847,56.11,Action
2014,92,6.3,148504,55.94,Action
2015,122,6.9,90372,24.99,Action
2006,84,6.6,115355,0.44,Comedy
2010,103,6.5,283282,102.98,Action
2012,101,7.8,290559,189.41,Comedy
2012,127,6.1,239772,155.11,Action
2015,111,5.8,47804,34.96,Action
2011,154,6.3,338369,352.36,Action
2007,96,7.5,432461,143.49,Comedy
2016,98,6.1,26521,4.2,Comedy
2016,98,6.5,68654,41.01,Drama
2014,109,6,110825,83.91,Comedy
2007,107,7.1,150353,127.71,Comedy
2015,121,7.1,159582,75.27,Comedy
2006,101,7.8,374044,59.89,Comedy
2016,117,6.8,11900,4.85,Drama
2010,106,5.8,238206,163.19,Action
2016,117,6.8,44425,27.55,Action
2010,125,6.8,273959,172.05,Action
2013,146,7.6,525646,424.65,Action
2010,101,6.3,44158,0.58,Drama
2016,90,4.9,6809,131.56,Action
2014,94,5.1,89885,38.54,Comedy
2012,110,5.7,60059,41.1,Comedy
2011,133,7.6,297395,75.61,Drama
2007,114,5.2,190673,115.8,Action
2014,137,7.2,114006,115.6,Drama
2011,110,6,142900,83.5,Action
2012,93,7.2,293941,237.28,Comedy
2009,152,7.8,182074,10.1,Drama
2013,112,6.2,25208,0.32,Drama
2014,106,7.1,116118,10.72,Drama
2006,105,6.4,122864,2.34,Comedy
2015,96,6.1,68306,150.32,Comedy
2010,116,7.2,97141,12.13,Drama
2008,110,6.6,84083,24.85,Action
2016,83,6.2,63408,6.86,Action
2009,97,7.9,277123,5.01,Drama
2010,95,7.3,183926,148.34,Action
2013,113,6.7,181432,46,Action
2016,88,6.4,40357,93.95,Action
2016,95,7.2,89791,143.52,Action
2015,110,5.1,1630,6.53,Drama
2011,98,6.9,368556,117.53,Comedy
2014,139,8.1,33560,3.49,Drama
2008,120,7,216932,75.75,Action
2013,124,6.2,71822,19.45,Drama
2016,162,7.6,24387,1.48,Comedy
2009,135,6.7,130702,43.98,Drama
2007,160,7.5,143564,3.9,Drama
2013,90,6.6,199973,24.48,Comedy
2016,92,6.3,21089,0.04,Action
2015,95,6.3,30053,0.03,Action
2013,114,7.3,249877,58.23,Comedy
2015,103,7.3,66400,17.47,Comedy
2012,88,6.4,127157,62.32,Action
2009,108,6.6,94069,0.4,Drama
2014,109,6,144715,89.25,Action
2012,118,6.3,210965,58.88,Action
2006,104,6.7,406540,234.36,Action
2014,98,6.2,74886,113.73,Comedy
2010,112,6.7,151519,32.36,Comedy
2014,112,6.6,261536,6.11,Comedy
2006,120,7,73491,2.2,Comedy
2007,129,7,309398,148.73,Comedy
2012,116,7.3,195360,37.4,Drama
2014,83,5.6,50402,31.54,Drama
2012,113,6.7,178471,56.72,Comedy
2006,117,8,361105,162.59,Drama
2014,122,8.1,110100,3.08,Comedy
2016,113,7.5,4304,0.86,Drama
2015,101,6.6,76469,13.65,Comedy
2014,104,5.6,44111,7.79,Action
2007,116,7.4,296289,52.88,Drama
2016,87,6.7,30875,9.39,Comedy
2009,140,7,240323,97.03,Drama
2014,165,7.9,286722,25.36,Drama
2014,101,5.9,178527,190.87,Action
2007,100,7.7,198006,17.11,Drama
2015,96,6.7,2798,0.03,Drama
2008,111,7,267872,87.34,Action
2012,95,6.9,54027,0.02,Comedy
2007,114,7.7,206707,20.3,Drama
2013,117,6.6,140151,159.58,Action
2016,102,7.1,5796,0.28,Drama
2012,129,6.6,75291,12.8,Drama
2015,106,5.7,26320,0.05,Drama
2015,115,6.3,136323,81.26,Comedy
2013,129,6.5,168875,49.87,Comedy
2006,143,8,422014,57.37,Drama
2015,137,6.5,47703,1.21,Drama
2008,131,7.6,352023,15.7,Drama
2011,114,5.6,231907,116.59,Action
2013,115,6.7,188004,25.12,Action
2014,102,7.2,80415,0.01,Comedy
2015,101,6.5,57874,34.02,Comedy
2016,140,7.2,2403,0.54,Action
2014,123,6.7,331902,337.1,Action
2011,112,7.5,104953,1.74,Drama
2016,90,6.5,16164,14.01,Comedy
2013,130,5.9,112313,31.17,Action
2008,123,7.7,245144,69.95,Drama
2010,118,8,534388,138.8,Drama
2008,96,7.6,54486,0.15,Drama
2008,88,6.1,252503,80.17,Action
2010,103,8.3,586669,414.98,Comedy
2011,122,7.1,157053,24.1,Drama
2012,96,5.4,114144,42.35,Action
2016,151,7.8,23540,1.4,Drama
2014,105,5.5,90188,23.22,Action
2012,127,7.9,471109,124.98,Drama
2014,106,7.3,86271,0.33,Drama
2007,128,7.2,347567,134.52,Action
2012,106,7,494641,218.63,Comedy
2010,111,7.1,250012,90.36,Action
2008,165,6.6,106115,49.55,Drama
2010,98,6.5,83788,23.23,Action
2016,88,6.5,5908,1.02,Comedy
2014,141,7.4,146812,47.11,Drama
2013,96,6.2,18437,5.73,Drama
2009,150,6,335757,402.08,Action
2014,95,7.3,50388,50.15,Comedy
2010,131,8.2,92863,6.86,Drama
2007,116,5.8,74664,36.77,Comedy
2006,108,6.5,141141,197.99,Comedy
2015,104,6.6,64557,32.36,Comedy
2014,138,5.8,209700,101.16,Action
2014,97,6.4,236500,150.06,Comedy
2013,123,6.7,65824,0.33,Drama
2014,115,7.1,95553,37.88,Drama
2010,102,6,190385,162,Comedy
2010,140,6.2,127983,176.59,Action
2012,113,6.2,209326,79.71,Comedy
2011,109,6.6,286543,55.8,Comedy
2006,110,7.6,309934,39.83,Drama
2010,117,6.8,219116,77.21,Action
2013,119,6.3,166342,44.67,Comedy
2011,104,7,201707,37.37,Comedy
2016,104,7.7,16163,0.69,Comedy
2011,126,7.5,259182,73.82,Drama
2008,128,7.1,182305,39.38,Action
2015,118,5.7,17439,0.56,Drama
2008,112,5.2,124554,102.18,Action
2016,99,5.4,29642,63.03,Comedy
2016,111,6.6,8998,4.71,Action
2009,129,8.2,144524,20.17,Drama
2010,110,7.6,254904,171.03,Drama
2015,96,6.2,25903,3.59,Drama
2014,116,6.1,144779,42.62,Comedy
2013,106,5.9,91684,68.56,Action
2007,113,7.2,148943,39,Drama
2008,107,7.9,322536,7.76,Comedy
2012,103,6.3,154400,54.76,Action
2010,116,7.8,290056,93.57,Action
2007,114,7.5,91229,31.66,Drama
2014,114,7.3,151970,31.24,Comedy
2015,102,7.3,57826,18.7,Drama
2008,118,6.6,156158,101.11,Action
2014,153,8.2,103279,10.57,Comedy
2008,122,6.2,351361,317.01,Action
2015,109,6.3,72515,31.99,Drama
2015,119,5.7,25928,0.34,Drama
2008,106,6.6,347798,168.37,Action
2010,98,8.1,523893,217.39,Action
2006,110,5.6,82701,42.27,Drama
2006,96,7.3,199193,10.14,Drama
2011,106,6.2,110490,191.45,Comedy
2011,113,6.9,218679,61.09,Action
2015,117,6.5,67196,12.28,Action
2007,120,7.3,128146,28.48,Drama
2014,95,6.9,31370,0.04,Comedy
2013,134,7.8,346154,107.1,Drama
2016,92,4.6,11555,3.77,Action
2015,89,6.7,69157,169.69,Comedy
2008,92,6.4,366138,227.95,Action
2015,118,6,50241,87.03,Comedy
2013,111,6.3,92868,36.92,Comedy
2008,101,6.6,154936,31.45,Comedy
2016,66,7.8,4370,0.29,Comedy
2012,102,6.6,129252,18.6,Action
2011,108,6.2,178243,70.63,Comedy
2006,120,7.3,87887,5.48,Drama
2013,98,7.4,304837,368.05,Comedy
2014,114,6.5,93883,25.98,Drama
2013,109,7,199813,26,Action
2012,110,7.2,196652,14.99,Comedy
2007,115,6.2,146566,82.16,Action
2014,105,6.2,103681,50.55,Action
2014,111,6,52537,33.63,Drama
2010,116,6.6,233148,90.76,Action
2013,95,7.1,115751,6.85,Comedy
2016,111,6.8,4771,3.9,Drama
2015,93,6.7,19309,0.05,Action
2012,112,6.3,72050,16.68,Comedy
2009,87,7.8,149779,21,Comedy
2006,129,7.6,285441,88.5,Drama
2010,94,7.6,294010,18.33,Drama
2009,123,6.8,130153,7.69,Action
2009,118,5.8,180105,150.17,Action
2016,119,7,5855,0.3,Drama
2008,87,1.9,77207,14.17,Comedy
2006,102,7.2,171356,70.27,Drama
2012,94,6.4,16917,49,Comedy
2011,120,7.4,67464,11.23,Drama
2008,112,5.7,62719,70.22,Action
2012,83,6.4,225394,59.62,Comedy
2016,128,7.5,5531,0.13,Drama
2008,113,5.5,163144,100.02,Action
2014,108,6.3,125190,54.41,Comedy
2015,125,6.4,15232,1.98,Drama
2011,135,7.1,137117,3.03,Drama
2009,97,7.1,95480,104.37,Comedy
2010,98,6.8,157499,81.56,Action
2012,138,7.3,276347,93.75,Drama
2015,94,6.7,77447,177.34,Comedy
2013,131,7.8,77986,0.09,Drama
2013,128,7.5,69659,95,Drama
2008,123,6.8,198395,81.16,Drama
2013,104,7.4,111875,16.17,Drama
2013,116,6.8,88829,11.33,Drama
2008,96,7.1,208770,23.21,Drama
2008,92,7.6,329788,215.4,Action
2016,111,5.9,9993,54.01,Comedy
2009,115,6.6,297093,125.32,Action
2007,123,7.5,55648,36.58,Drama
2008,141,7.8,206793,35.71,Drama
2010,113,7.2,119376,19.06,Drama
2014,81,6.2,32310,66.95,Comedy
2013,85,7.1,100890,1.36,Drama
2013,120,6.5,61060,0.16,Drama
2016,110,6.9,7402,3.4,Drama
2015,122,6.9,20907,0.64,Drama
2011,99,6.6,20194,52.69,Comedy
2006,126,6.9,270429,133.38,Action
2015,116,7.7,21569,3.36,Comedy
2009,85,2.7,59512,9.35,Action
2012,93,5.4,64584,44.8,Action
2011,107,7,113599,13.77,Drama
2010,114,6.6,101301,53.36,Comedy
2007,100,7,221858,28.64,Drama
2013,98,6.9,193579,66.36,Comedy
2013,98,7.3,160592,33.4,Drama
2013,110,5.8,152145,122.51,Action
2012,99,5.8,159230,83.64,Action
2016,120,6.9,8365,1.91,Action
2013,125,7.5,125693,83.3,Comedy
2014,119,6.3,184564,23.01,Drama
2011,96,6.9,173919,143.62,Comedy
2015,101,6.1,16361,0.03,Drama
2006,143,7.5,253417,34.3,Drama
2011,139,6.8,143517,13.3,Drama
2012,101,6.5,82874,60.44,Drama
2010,88,5.5,75262,25,Comedy
2011,100,7.7,281625,34.96,Comedy
2011,127,7.1,264480,85.46,Action
2008,145,5.5,102547,152.64,Comedy
2008,92,7.1,187077,42.72,Action
2006,117,7.9,93036,2.28,Comedy
2009,96,6.5,172558,88.92,Comedy
2009,89,5.5,83976,58.72,Comedy
2015,101,6.5,27730,0.81,Comedy
2006,105,5.6,118905,34.01,Action
